Model,Accuracy,Precision,Recall,F1-Score
1. Stemming + BoW + NB,0.9820627802690582,0.926829268292683,0.95,0.9382716049382716
2. Lemma + BoW + NB,0.9820627802690582,0.926829268292683,0.95,0.9382716049382716
3. Stemming + TF-IDF + NB,0.9739910313901345,1.0,0.81875,0.9003436426116839
4. Lemma + TF-IDF + NB,0.9766816143497757,1.0,0.8375,0.9115646258503401
5. Lemma + TF-IDF + LR,0.9641255605381166,0.9838709677419355,0.7625,0.8591549295774648
6. Lemma + TF-IDF + SVM,0.9829596412556054,0.993006993006993,0.8875,0.9372937293729373
7. Lemma + TF-IDF + RF,0.9811659192825112,1.0,0.86875,0.9297658862876255
